Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2012,Scooter Gennett,MIL,AA,22,573,0.048865619,0.123909249,0.394366197,0.292682926,0.329805996,0.384615384,0.71442138,0.091932458,4.489138246225660,0.328260869,-0.06801633909344670,64.05355064998130,-0.672484289307827,0.3298263704882260,93.70373730539100,10339
2014,Gift Ngoepe,PIT,AA,24,499,0.102204408,0.270541082,0.377777777,0.23798627,0.319105691,0.3798627,0.698968391,0.14187643,6.355161459591030,0.322033898,-0.8475528457202020,55.60246566574930,-2.795505420454720,0.31866620771768600,94.63127643852660,10340
2014,Mike Ohlman,BAL,AA,23,454,0.094713656,0.189427312,0.5,0.235732009,0.309734513,0.317617866,0.627352379,0.081885857,1.764180665,0.29153605,-0.158060010522604,40.87191722944230,-12.25970375880750,0.2914519997033400,73.45601269715920,10347
2015,Mike Ohlman,STL,AA,24,417,0.11031175,0.184652278,0.597402597,0.273224043,0.35576923,0.418032786,0.773802016,0.144808743,1.617492108913590,0.315412186,-0.7797503445763140,56.87659188164040,8.51171116334962,0.3535335546242440,113.72207910497500,10347
2013,Domingo Santana,HOU,AA,20,476,0.096638655,0.292016806,0.330935251,0.252403846,0.344537815,0.497596153,0.842133968,0.245192307,5.35957781980693,0.316205533,0.25219489459414000,74.40421538910860,20.195859574890100,0.3718601274490360,136.06720652288300,10348
2013,Daniel Fields,DET,AA,22,515,0.08737864,0.252427184,0.346153846,0.284463894,0.356031128,0.435448577,0.791479705,0.150984683,7.256769635498140,0.373831775,1.7610678083729,72.87392540737940,12.001322348564400,0.35822284687310500,116.19005096722500,10390
2013,Wilfredo Tovar,NYM,AA,21,486,0.067901234,0.100823045,0.673469387,0.263038548,0.322981366,0.340136054,0.66311742,0.077097506,5.775824274633700,0.287179487,-0.6350637848954650,49.76526967497980,-7.679555735863070,0.30842829207209100,87.86123505621380,10416
2012,Jon Singleton,HOU,AA,20,555,0.158558558,0.236036036,0.671755725,0.284164859,0.396396396,0.496746203,0.893142599,0.212581344,5.166709111955790,0.350318471,0.2205322536174210,96.75267911576910,31.57646867507380,0.3960783110965380,145.34175613982600,10441
2017,Jon Singleton,HOU,AA,25,500,0.214,0.264,0.81060606,0.205194805,0.376,0.397402597,0.773402597,0.192207792,2.373173135510830,0.253112033,0.2945543776731940,69.28463984789080,11.618375373498800,0.35503631914846800,123.1183765597320,10441
2011,Adeiny Hechavarria,TOR,AA,22,502,0.049800796,0.155378486,0.32051282,0.234913793,0.275100401,0.346982758,0.622083159,0.112068965,6.525346721003460,0.266839378,-1.707403194042850,40.335549306925800,-19.699449452701500,0.2779752520784260,65.33802974409840,10459
2013,Enrique Hernandez,HOU,AA,21,483,0.070393374,0.144927536,0.485714285,0.23569794,0.297071129,0.375286041,0.67235717,0.139588101,3.850770333852410,0.252808988,-0.34773114568088200,48.89078169375920,-6.1147558236096400,0.30106918413599,87.90976868446070,10472
2014,Cheslor Cuthbert,KCR,AA,21,395,0.09113924,0.169620253,0.537313432,0.276056338,0.341772151,0.419718309,0.76149046,0.143661971,3.652298831832890,0.313167259,0.4953978799749170,51.67370460049510,7.810881352585590,0.3468070817357710,115.12290062482600,10473
2008,Danny Dorn,CIN,AA,23,388,0.108247422,0.216494845,0.5,0.276785714,0.366925064,0.538690476,0.90561554,0.261904762,4.016674684609030,0.309012875,0.3410510942339900,66.68014918623030,18.93623008189260,0.39996515233795400,135.65382552078800,1050
2012,Cesar Hernandez,PHI,AA,22,450,0.06,0.148888888,0.402985074,0.304136253,0.345454545,0.435523114,0.780977659,0.131386861,6.397156236370340,0.357558139,-1.6235998040792800,59.37640811193920,7.677171331534140,0.35058322792703500,112.20156312205200,10556
2013,Rico Noel,SDP,AA,24,576,0.090277777,0.206597222,0.436974789,0.266129032,0.348056537,0.33266129,0.680717827,0.066532258,7.790617173436030,0.345549738,4.030588572029960,64.13403044365830,-1.4626354155641400,0.3140746950050130,102.09161294610400,10585
2016,Joey Terdoslavich,BAL,AA,27,459,0.130718954,0.154684095,0.845070422,0.246192893,0.348583877,0.418781725,0.767365602,0.172588832,1.72240259,0.266881028,0.08078546926844870,61.76945630887290,8.57912160137433,0.3510484879832380,109.84825754527800,10593
2012,Bryce Brentz,BOS,AA,23,504,0.079365079,0.257936507,0.307692307,0.296052631,0.35515873,0.478070175,0.833228905,0.182017544,3.4150746460894400,0.376996805,-0.6002959255129100,74.55886204119460,16.65571684714100,0.37102897961934400,124.68031479014700,10607
2019,Carlos Perez,BAL,AA,28,385,0.051948051,0.135064935,0.384615384,0.251428571,0.302083333,0.434285714,0.736369047,0.182857143,0.8476443712500000,0.255172413,-0.020469529496040200,47.31374744858780,5.65705199327503,0.3293485202615010,106.49369517609200,10642
2013,Gio Urshela,CLE,AA,21,466,0.030042918,0.103004291,0.291666666,0.269662921,0.292207792,0.384269662,0.676477454,0.114606741,2.5529839236406300,0.286445012,-0.31371256592683500,46.63535630880670,-8.445484517227830,0.3054718201036580,85.33966921838580,10681
2012,Mike Olt,TEX,AA,23,421,0.144893111,0.239904988,0.603960396,0.288135593,0.397619047,0.579096045,0.976715092,0.290960452,3.9236055444721200,0.327433628,0.5438694944605230,83.20894289716020,33.76897065295720,0.42575341247650500,166.07279742249500,10698
2017,Mike Olt,BOS,AA,28,448,0.107142857,0.261160714,0.41025641,0.244897959,0.331838565,0.436224489,0.768063054,0.19132653,2.2268415150000000,0.306513409,0.1068166836630550,58.30354479167290,6.005461963151120,0.34475010994303900,107.81891310340400,10698
2012,Ryan LaMarre,CIN,AA,23,558,0.107526881,0.213261648,0.50420168,0.263485477,0.355595667,0.352697095,0.708292762,0.089211618,6.1162044322716600,0.338888888,1.6997645618394000,65.65597635594340,2.6243402370545500,0.3375598895851030,100.96273345780600,10700
2013,Ryan LaMarre,CIN,AA,24,515,0.085436893,0.180582524,0.473118279,0.246119733,0.326129666,0.372505543,0.698635209,0.12638581,5.7670175969824500,0.287749287,-0.9752716599032280,57.83839656503880,2.9128779703566000,0.32562352681723200,101.79106252868000,10700
2013,Arismendy Alcantara,CHC,AA,21,571,0.108581436,0.218914185,0.496,0.27125506,0.352313167,0.451417004,0.803730171,0.180161944,6.446115150225070,0.332402234,3.439540644409140,80.43981407335560,19.54181190332930,0.3645262735353100,125.04233140793700,10711
2014,Lane Adams,KCR,AA,24,465,0.096774193,0.184946236,0.523255813,0.269135802,0.352051835,0.427160493,0.779212328,0.158024691,7.1142998891849100,0.314102564,3.9314241181127700,63.98057530679250,12.344593508620500,0.3558032728586180,121.17778206394500,10767
2015,Lane Adams,KCR,AA,25,414,0.086956521,0.236714975,0.367346938,0.297587131,0.359903381,0.466487935,0.826391316,0.168900804,6.910418307442180,0.372180451,2.994534063851460,62.764754724978800,14.74782278883400,0.37309907671910000,128.99601905729100,10767
2012,Tyler Saladino,CHW,AA,22,509,0.14734774,0.178781925,0.824175824,0.236842105,0.358974358,0.320574162,0.67954852,0.083732057,7.212629571573840,0.288753799,4.113383402116600,56.76067947313740,-0.7359204991107190,0.3294681726828130,102.4575168936470,10807
